comment_text,published_at,query
CORTAR RELACIONES CON ISRAEL YA!,2025-10-07T06:38:13Z,presidenta municipal de Tampico
CORTAR RELACIONES CON ISRAEL YA!,2025-10-07T06:38:13Z,Presidenta municipal de Tampico
"Ayyyy Alo , mejorvete a pintar las uñas",2025-10-07T13:34:56Z,Gobierno de Tampico
"Ayyyy Alo , mejorvete a pintar las uñas",2025-10-07T13:34:56Z,gobierno de Tampico
Este corrupto que devuelva el dinero que le robó al estado de Coahuila.,2025-10-07T14:13:20Z,Gobierno de Tampico
Este corrupto que devuelva el dinero que le robó al estado de Coahuila.,2025-10-07T14:13:20Z,gobierno de Tampico
Ni vergüenza tienen estos cinicos ladrones. Como ya no pueden robar. Esta. Dolidos y resentidos.,2025-10-07T14:18:11Z,Gobierno de Tampico
Ni vergüenza tienen estos cinicos ladrones. Como ya no pueden robar. Esta. Dolidos y resentidos.,2025-10-07T14:18:11Z,gobierno de Tampico
Esos priístas no quieren dejar que se les vaya el hueso,2025-10-07T14:38:33Z,Gobierno de Tampico
Esos priístas no quieren dejar que se les vaya el hueso,2025-10-07T14:38:33Z,gobierno de Tampico
Estábamos peor. COn ustedes.,2025-10-07T14:39:59Z,Gobierno de Tampico
Estábamos peor. COn ustedes.,2025-10-07T14:39:59Z,gobierno de Tampico
"Que elegancia la de tampico se ve muy bonito el centro muchas tiendas las calles muy limpias, bonita ciudad!",2025-10-07T14:41:24Z,Gobierno de Tampico
⛰️🍃🍃🍃🍃☘️☘️☘️🍀🍀🍀🐸🐸🐸🐸🐸🐸🐸🐸,2025-10-07T14:48:09Z,presidenta municipal de Tampico
⛰️🍃🍃🍃🍃☘️☘️☘️🍀🍀🍀🐸🐸🐸🐸🐸🐸🐸🐸,2025-10-07T14:48:09Z,Presidenta municipal de Tampico
"INDIA YURIDIA ME PARECES GENIAL Y ME HACES REÍR MUCHO Y ME REGALAS ALEGRÍA, UN CARIÑOSO ABRAZO YURI 😃🤗🥰😉",2025-10-07T15:18:44Z,presidenta municipal de Tampico
"INDIA YURIDIA ME PARECES GENIAL Y ME HACES REÍR MUCHO Y ME REGALAS ALEGRÍA, UN CARIÑOSO ABRAZO YURI 😃🤗🥰😉",2025-10-07T15:18:44Z,Presidenta municipal de Tampico
"Cuando gobernaron ellos devaluaron el peso mas de 4mil% si el día de hoy el peso recuperara ese porcentaje, nos alcanzaría para vivir mejor?",2025-10-07T15:30:34Z,Gobierno de Tampico
"Cuando gobernaron ellos devaluaron el peso mas de 4mil% si el día de hoy el peso recuperara ese porcentaje, nos alcanzaría para vivir mejor?",2025-10-07T15:30:34Z,gobierno de Tampico
Empecé a ver ayer el vídeo y como a la mitad ya no se pudo reproducir y después desapareció 🫤,2025-10-07T16:28:20Z,Gobierno de Tampico
Empecé a ver ayer el vídeo y como a la mitad ya no se pudo reproducir y después desapareció 🫤,2025-10-07T16:28:20Z,gobierno de Tampico
🐸🐸🐸🐸🐸🐸🐸🐸💚💚💚💚💚💚💚💚💚💚💚💚 <br>Te amo rene,2025-10-07T18:41:12Z,presidenta municipal de Tampico
🐸🐸🐸🐸🐸🐸🐸🐸💚💚💚💚💚💚💚💚💚💚💚💚 <br>Te amo rene,2025-10-07T18:41:12Z,Presidenta municipal de Tampico
"Que cinismo, hipocresía y sinverguenzas son estas personas del PRIAN, este wuey y Alito lo que deben de hacer es regresar los miles de millones que robaron del PRIAN sus estados, tanto deben Coahuila como de Campeche, no tienen madre estos wueyes",2025-10-07T18:48:44Z,Gobierno de Tampico
"Que cinismo, hipocresía y sinverguenzas son estas personas del PRIAN, este wuey y Alito lo que deben de hacer es regresar los miles de millones que robaron del PRIAN sus estados, tanto deben Coahuila como de Campeche, no tienen madre estos wueyes",2025-10-07T18:48:44Z,gobierno de Tampico
Ja ja ja pobres ilusos pela gatos,2025-10-07T20:29:21Z,Gobierno de Tampico
Ja ja ja pobres ilusos pela gatos,2025-10-07T20:29:21Z,gobierno de Tampico
"Long live Mexico! Long live Mexico, Greetings to the Mexicans. Sending my love to Mexico from Türkiye. I love Mexico very much. 🇹🇷🇲🇽❤️",2025-10-07T21:28:58Z,presidenta municipal de Tampico
"Long live Mexico! Long live Mexico, Greetings to the Mexicans. Sending my love to Mexico from Türkiye. I love Mexico very much. 🇹🇷🇲🇽❤️",2025-10-07T21:28:58Z,Presidenta municipal de Tampico
teamo mohu  jm,2025-10-07T22:02:38Z,Gobierno de Tampico
Bueno y ustedes porque no la usaron o porque no la usan porque no tienen cara el pueblo ya no los quiere los repudia por cínicos y ladrones,2025-10-07T22:07:23Z,Gobierno de Tampico
Bueno y ustedes porque no la usaron o porque no la usan porque no tienen cara el pueblo ya no los quiere los repudia por cínicos y ladrones,2025-10-07T22:07:23Z,gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=PDQPEgCrEZs&amp;t=285"">4:45</a> un cero por que no me gusta el huevo pero bien que selo estaba comieno  ay mario jaja🤣",2025-10-07T23:14:49Z,Gobierno de Tampico
Y este desgraciado cuando entra a la carcel con todo y familia gozando todo lo robado y haciéndose el martil del calvario sus hermanos y familiares y prestanombres eso es no tener madre,2025-10-07T23:47:49Z,Gobierno de Tampico
Y este desgraciado cuando entra a la carcel con todo y familia gozando todo lo robado y haciéndose el martil del calvario sus hermanos y familiares y prestanombres eso es no tener madre,2025-10-07T23:47:49Z,gobierno de Tampico
"¡Viva México! Saludos de los mexicanos en Turquía. Con cariño, desde Turquía para México. Amo a Turquía más que a México. Estoy orgulloso de México. 🇹🇷🇲🇽👋🏼❤️",2025-10-07T23:57:46Z,presidenta municipal de Tampico
"¡Viva México! Saludos de los mexicanos en Turquía. Con cariño, desde Turquía para México. Amo a Turquía más que a México. Estoy orgulloso de México. 🇹🇷🇲🇽👋🏼❤️",2025-10-07T23:57:46Z,Presidenta municipal de Tampico
"Muy buen video, me gustó el tiempo en la playa 🏖",2025-10-08T00:23:55Z,Gobierno de Tampico
"Muy buen video, me gustó el tiempo en la playa 🏖",2025-10-08T00:23:55Z,gobierno de Tampico
Eres priísta de los corruptos son todos los priístas iguales y chillones  ya pronto les vamos aplicar el mismo medicamento que se le dio al PRD y luego al bote de la basura y uds van a la carcel,2025-10-08T00:56:51Z,Gobierno de Tampico
Eres priísta de los corruptos son todos los priístas iguales y chillones  ya pronto les vamos aplicar el mismo medicamento que se le dio al PRD y luego al bote de la basura y uds van a la carcel,2025-10-08T00:56:51Z,gobierno de Tampico
Eso de de que dan aguinaldo será en otras ciudades sirve para otras cosas no para aguinaldos,2025-10-08T01:17:03Z,Gobierno de Tampico
Un chayotero entrevistando a un panista que da chayotes...,2025-10-08T01:35:21Z,Gobierno de Tampico
Un chayotero entrevistando a un panista que da chayotes...,2025-10-08T01:35:21Z,gobierno de Tampico
Quiero sacar una canción con tigo,2025-10-08T01:56:17Z,Gobierno de Tampico
Quiero sacar una canción con tigo,2025-10-08T01:56:17Z,gobierno de Tampico
Quiero sacar una canción con tigo,2025-10-08T01:56:17Z,Gobierno de Tampico
Quiero sacar una canción con tigo,2025-10-08T01:56:17Z,gobierno de Tampico
El PRI caerá en el 27,2025-10-08T02:47:43Z,Gobierno de Tampico
El PRI caerá en el 27,2025-10-08T02:47:43Z,gobierno de Tampico
Hey,2025-10-08T02:50:47Z,gobierno de Tampico
Que se reporte alguien de Campeche y no pase el chisme si quieren o no a Alito y por qué ?,2025-10-08T03:41:25Z,Gobierno de Tampico
Que se reporte alguien de Campeche y no pase el chisme si quieren o no a Alito y por qué ?,2025-10-08T03:41:25Z,gobierno de Tampico
Estúpida ridicula,2025-10-08T05:01:19Z,presidenta municipal de Tampico
Estúpida ridicula,2025-10-08T05:01:19Z,Presidenta municipal de Tampico
2001년 미국 9.11테러나던해에 탐피코의 국영석유회사 보수공사와 증설현장에 근무했는데<br>아름다운 해변과<br>값싼물가와 큰강건너 새우구워먹어러 많이 간기억이나네요.<br>영상잘보았읍니다!,2025-10-08T06:37:44Z,Gobierno de Tampico
2001년 미국 9.11테러나던해에 탐피코의 국영석유회사 보수공사와 증설현장에 근무했는데<br>아름다운 해변과<br>값싼물가와 큰강건너 새우구워먹어러 많이 간기억이나네요.<br>영상잘보았읍니다!,2025-10-08T06:37:44Z,gobierno de Tampico
A sacrificar a los de abajo para que los de arriba queden lavados y ierdinados y puedan gastar libres e impunes los millones que se robaron ....<br><br>Tratando de tapar la corruptelas con simulaciones de &quot;justicia&quot; ....todo siempre lo han arreglado con chivos expiatorios....,2025-10-08T06:41:23Z,Gobierno de Tampico
A sacrificar a los de abajo para que los de arriba queden lavados y ierdinados y puedan gastar libres e impunes los millones que se robaron ....<br><br>Tratando de tapar la corruptelas con simulaciones de &quot;justicia&quot; ....todo siempre lo han arreglado con chivos expiatorios....,2025-10-08T06:41:23Z,gobierno de Tampico
"MOREIRA ES UN DELINCUENTE CON FUERO , QUE POLITICAMENTE VIVE EN 1930",2025-10-08T07:20:00Z,Gobierno de Tampico
"MOREIRA ES UN DELINCUENTE CON FUERO , QUE POLITICAMENTE VIVE EN 1930",2025-10-08T07:20:00Z,gobierno de Tampico
Ya empiezan a devagar Pará debilitar.. dónde están las pruebas.. Farias laguna nada tiene que ver..fue escolta de peña nieto y Durazo y peña nieto eran enemigos.. precisamente por él apehido y él negro Durazo..,2025-10-08T08:47:52Z,gobierno de Tampico
Sino tramitamos no vamos apoder cobrar ni poder tramitar ningún documentos pordios todos nuestros datos ya losdimos,2025-10-08T10:19:26Z,Gobierno de Tampico
Sino tramitamos no vamos apoder cobrar ni poder tramitar ningún documentos pordios todos nuestros datos ya losdimos,2025-10-08T10:19:26Z,gobierno de Tampico
"Yo quería ser militar, a mí nadie  , me puede doblegar",2025-10-08T10:19:41Z,presidenta municipal de Tampico
"Yo quería ser militar, a mí nadie  , me puede doblegar",2025-10-08T10:19:41Z,Presidenta municipal de Tampico
"Mi sueño siempre fue ser parte de las fuerzas especiales,",2025-10-08T10:25:39Z,presidenta municipal de Tampico
"Mi sueño siempre fue ser parte de las fuerzas especiales,",2025-10-08T10:25:39Z,Presidenta municipal de Tampico
Ya me tienen hasta el gorro,2025-10-08T10:56:20Z,Gobierno de Tampico
Ya me tienen hasta el gorro,2025-10-08T10:56:20Z,gobierno de Tampico
Estas son noticias oficiales.,2025-10-08T11:08:01Z,presidenta municipal de Tampico
Estas son noticias oficiales.,2025-10-08T11:08:01Z,Presidenta municipal de Tampico
Amazing!,2025-10-08T11:58:36Z,presidenta municipal de Tampico
Amazing!,2025-10-08T11:58:36Z,Presidenta municipal de Tampico
Aquí el delincuente eres no somos estúpidos,2025-10-08T13:09:58Z,Gobierno de Tampico
Aquí el delincuente eres no somos estúpidos,2025-10-08T13:09:58Z,gobierno de Tampico
"Supe de un hombre de unos 50 años que empezó a invertir en bienes raíces y acciones, y finalmente se jubiló con más de 6 millones de dólares en tan solo dos años. Ese es mi principal objetivo y agradecería cualquier recomendación u orientación sobre cómo lograrlo en cinco años. Sigue siendo un excelente momento para invertir en oro, plata y criptomonedas como Bitcoin, Ethereum y SOL, especialmente en vista de la actual crisis económica mundial.",2025-10-08T13:46:34Z,Gobierno de Tampico
"Supe de un hombre de unos 50 años que empezó a invertir en bienes raíces y acciones, y finalmente se jubiló con más de 6 millones de dólares en tan solo dos años. Ese es mi principal objetivo y agradecería cualquier recomendación u orientación sobre cómo lograrlo en cinco años. Sigue siendo un excelente momento para invertir en oro, plata y criptomonedas como Bitcoin, Ethereum y SOL, especialmente en vista de la actual crisis económica mundial.",2025-10-08T13:46:34Z,gobierno de Tampico
Xq culpan a Israel ? Xq no acusan a Hamas si ellos empezaron esta guerra? Que entreguen los rehenes y fin del conflicto,2025-10-08T14:15:12Z,Gobierno de Tampico
Xq culpan a Israel ? Xq no acusan a Hamas si ellos empezaron esta guerra? Que entreguen los rehenes y fin del conflicto,2025-10-08T14:15:12Z,gobierno de Tampico
Apoyo a los militares,2025-10-08T14:22:20Z,Gobierno de Tampico
Siempre ponen pretextos cuando matan a gente inocente. Fatal su actuar.,2025-10-08T14:48:45Z,Gobierno de Tampico
Siempre ponen pretextos cuando matan a gente inocente. Fatal su actuar.,2025-10-08T14:48:45Z,gobierno de Tampico
Buenos días Carmen estaba viendo al señor que le dispararon por estar reportando los baches los cuales es vergonzoso que este pasando esto soy del estado de México y aquí al salir de la México Querétaro al altura de Tepozotlán hay más cráteres que en la luna me pasó algo similar por terrenos ejidales me amenazaron de muerte poniendome un arma el la cabeza estando yo costrullendo estoy siendo víctima de esto que formó morena llamado la ley espía toda mi familia está siendo intervenida en telecomunicaciones sin la orden de un juez y nosotros no somos delincuentes solo somos una familia de trabajo como la mayoría de nuestra sociedad solo espero que alguien me pueda ayudar con esta situación por qué aparte de todo estos delitos que están cometiendo no fue suficiente ya que vinieron a saquernos el hogar que asta la estufa y tinaco  se llevaron es vergonzoso que este pasando esto y los vecinos no dicen nada por miendo tengo pruebas de todo esto y ahora quiero aserlo público por si me pasa algo Ami o mi familia,2025-10-08T14:50:36Z,Gobierno de Tampico
Buenos días Carmen estaba viendo al señor que le dispararon por estar reportando los baches los cuales es vergonzoso que este pasando esto soy del estado de México y aquí al salir de la México Querétaro al altura de Tepozotlán hay más cráteres que en la luna me pasó algo similar por terrenos ejidales me amenazaron de muerte poniendome un arma el la cabeza estando yo costrullendo estoy siendo víctima de esto que formó morena llamado la ley espía toda mi familia está siendo intervenida en telecomunicaciones sin la orden de un juez y nosotros no somos delincuentes solo somos una familia de trabajo como la mayoría de nuestra sociedad solo espero que alguien me pueda ayudar con esta situación por qué aparte de todo estos delitos que están cometiendo no fue suficiente ya que vinieron a saquernos el hogar que asta la estufa y tinaco  se llevaron es vergonzoso que este pasando esto y los vecinos no dicen nada por miendo tengo pruebas de todo esto y ahora quiero aserlo público por si me pasa algo Ami o mi familia,2025-10-08T14:50:36Z,gobierno de Tampico
Deberian cancelar la transmisión de la mañanera 😮😮😮 pero la gente sigue muriendo.,2025-10-08T14:50:57Z,Gobierno de Tampico
Deberian cancelar la transmisión de la mañanera 😮😮😮 pero la gente sigue muriendo.,2025-10-08T14:50:57Z,gobierno de Tampico
"Y siguen sin mencionar la cifra de desaparecidos, son unos tramposos, con tal de quedar bien con la señora sheinbaum",2025-10-08T14:52:28Z,Gobierno de Tampico
"Y siguen sin mencionar la cifra de desaparecidos, son unos tramposos, con tal de quedar bien con la señora sheinbaum",2025-10-08T14:52:28Z,gobierno de Tampico
Que malos,2025-10-08T15:19:00Z,Gobierno de Tampico
Que malos,2025-10-08T15:19:00Z,gobierno de Tampico
Sra presidenta mandé al carajo a Donald tromp nosotros Mexicanos) podemos salir adelante...,2025-10-08T15:30:49Z,Gobierno de Tampico
Sra presidenta mandé al carajo a Donald tromp nosotros Mexicanos) podemos salir adelante...,2025-10-08T15:30:49Z,gobierno de Tampico
Son mmadas...,2025-10-08T15:32:33Z,Gobierno de Tampico
Son mmadas...,2025-10-08T15:32:33Z,gobierno de Tampico
El gobierno siempre con sus cifras alegres. Cuando hablan de homicidios nunca hablan de los desaparecidos porque es muy probable que las personas desaparecidas nunca vuelvan a aparecer con vida. Los desaparecidos son los que según ellos no se murieron en la estadística del mes.,2025-10-08T15:34:44Z,Gobierno de Tampico
El gobierno siempre con sus cifras alegres. Cuando hablan de homicidios nunca hablan de los desaparecidos porque es muy probable que las personas desaparecidas nunca vuelvan a aparecer con vida. Los desaparecidos son los que según ellos no se murieron en la estadística del mes.,2025-10-08T15:34:44Z,gobierno de Tampico
No tienen tantita m4dr3 ellos se embolsaban millónes mientras el pueblo se moría de hambre.,2025-10-08T15:50:05Z,Gobierno de Tampico
No tienen tantita m4dr3 ellos se embolsaban millónes mientras el pueblo se moría de hambre.,2025-10-08T15:50:05Z,gobierno de Tampico
Saludos carmen la mejor periodista de México,2025-10-08T16:00:08Z,Gobierno de Tampico
Saludos carmen la mejor periodista de México,2025-10-08T16:00:08Z,gobierno de Tampico
QUE MAL ESTA LA SOBERANÍA. delincuentes marinos y militares y de altos cargos entre sí. Porque no ven hacia dónde los está llevando la corriente de morena?,2025-10-08T16:16:44Z,Gobierno de Tampico
QUE MAL ESTA LA SOBERANÍA. delincuentes marinos y militares y de altos cargos entre sí. Porque no ven hacia dónde los está llevando la corriente de morena?,2025-10-08T16:16:44Z,gobierno de Tampico
Todos los mexicanos ridículos que andan ahí de Pro palestinos mejor exijan a nuestra presidenta y a todos los gobiernos pasados y actuales que ya nos quiten tanta violencia tanto secuestro tanta estafa tanto narco en vez de andar de ridículos defendiendo terroristas,2025-10-08T16:22:58Z,Gobierno de Tampico
Todos los mexicanos ridículos que andan ahí de Pro palestinos mejor exijan a nuestra presidenta y a todos los gobiernos pasados y actuales que ya nos quiten tanta violencia tanto secuestro tanta estafa tanto narco en vez de andar de ridículos defendiendo terroristas,2025-10-08T16:22:58Z,gobierno de Tampico
Y los desaparecid0000s ? Presumen su maquillaje,2025-10-08T16:24:14Z,Gobierno de Tampico
Y los desaparecid0000s ? Presumen su maquillaje,2025-10-08T16:24:14Z,gobierno de Tampico
"Por favor que cada país se preocupe por lo que sucede en su país  por ejemplo que los mexicanos dejen de estar exigiendo por Gaza que se preocupen por lo que está pasando en México aquí también hay muchos muertos , secuestros y desaparecidos  porque no exigen al gobierno que haga algo por lo menos Israel pelea por rescatar a sus secuestrados ,ya sea vivos muertos  y  esos secuestrados  son gente de nacionalidades diferentes entre ellos mexicanos    y Israel está peleando por recuperar a esa gente   así que cada gobierno del mundo que se preocupen por quitar a todos los narcos terroristas que hay en cada país incluyendo México",2025-10-08T17:10:01Z,Gobierno de Tampico
"Por favor que cada país se preocupe por lo que sucede en su país  por ejemplo que los mexicanos dejen de estar exigiendo por Gaza que se preocupen por lo que está pasando en México aquí también hay muchos muertos , secuestros y desaparecidos  porque no exigen al gobierno que haga algo por lo menos Israel pelea por rescatar a sus secuestrados ,ya sea vivos muertos  y  esos secuestrados  son gente de nacionalidades diferentes entre ellos mexicanos    y Israel está peleando por recuperar a esa gente   así que cada gobierno del mundo que se preocupen por quitar a todos los narcos terroristas que hay en cada país incluyendo México",2025-10-08T17:10:01Z,gobierno de Tampico
No robar,2025-10-08T17:16:14Z,Gobierno de Tampico
No robar,2025-10-08T17:16:14Z,gobierno de Tampico
"Pobrecitos soldados, estaban bajo intensa presión, de saber si les disparaban o los dejaban pasar!",2025-10-08T17:27:39Z,Gobierno de Tampico
"Pobrecitos soldados, estaban bajo intensa presión, de saber si les disparaban o los dejaban pasar!",2025-10-08T17:27:39Z,gobierno de Tampico
y siguen sin hacer nada los alcaldes!! solo robar para su beneficio! eso si saben hacer,2025-10-08T17:52:49Z,Gobierno de Tampico
Pura lata la señora ya estaba emocionada 🤣😅,2025-10-08T18:29:55Z,Presidenta municipal de Tampico
Pura lata la señora ya estaba emocionada 🤣😅,2025-10-08T18:29:55Z,presidenta municipal de Tampico
Pura lata la señora ya estaba emocionada 🤣😅,2025-10-08T18:29:55Z,Presidenta municipal de Tampico
@Tren Golfo De México 💚🪴🇲🇽🦅🥳🥳 @Aero Golfo De México 🛫TAMBIÉN OBTENDRÍA BASTANTE TURISMO EN MÉXICO.🥳🥳Por el nombre en todas las partes del mundo. @MexicoAmerica Oh @AmericaAzteca serían nombres buenos🛫para los aviones en México cómo el clásico Aero México.,2025-10-08T18:45:37Z,Gobierno de Tampico
@Tren Golfo De México 💚🪴🇲🇽🦅🥳🥳 @Aero Golfo De México 🛫TAMBIÉN OBTENDRÍA BASTANTE TURISMO EN MÉXICO.🥳🥳Por el nombre en todas las partes del mundo. @MexicoAmerica Oh @AmericaAzteca serían nombres buenos🛫para los aviones en México cómo el clásico Aero México.,2025-10-08T18:45:37Z,gobierno de Tampico
"Carmen, la suerte está echada, dice un refrán, después de todo esto y más en cascada, Asesinatos de estado Luis Donaldo, Ruiz Massieu, Generales, Marino, delegado de Tamaulipas, Ayotzinapa, Centro de Migración incendiado, línea 12 del tren, Ayudantes Brugada, Robo de gasolina, Fobaproa, Pemex, Segalmex, Rancho Izaguirre etc.",2025-10-08T19:33:20Z,Gobierno de Tampico
"Carmen, la suerte está echada, dice un refrán, después de todo esto y más en cascada, Asesinatos de estado Luis Donaldo, Ruiz Massieu, Generales, Marino, delegado de Tamaulipas, Ayotzinapa, Centro de Migración incendiado, línea 12 del tren, Ayudantes Brugada, Robo de gasolina, Fobaproa, Pemex, Segalmex, Rancho Izaguirre etc.",2025-10-08T19:33:20Z,gobierno de Tampico
Ya mero acabas con el  &quot; prian &quot; MAlito .  HAY LA LLEVAS.,2025-10-08T20:03:38Z,Gobierno de Tampico
Ya mero acabas con el  &quot; prian &quot; MAlito .  HAY LA LLEVAS.,2025-10-08T20:03:38Z,gobierno de Tampico
Tu canal es antisemita… dejo de seguirte,2025-10-08T20:38:24Z,Gobierno de Tampico
Tu canal es antisemita… dejo de seguirte,2025-10-08T20:38:24Z,gobierno de Tampico
Que poca de este cínico ratero y Moreira pelón ocicon ratero no creo que aya gente que crea estás mentiras cuántos millones se robaron nada más éstos 2 y los que faltan,2025-10-08T21:16:44Z,Gobierno de Tampico
Que poca de este cínico ratero y Moreira pelón ocicon ratero no creo que aya gente que crea estás mentiras cuántos millones se robaron nada más éstos 2 y los que faltan,2025-10-08T21:16:44Z,gobierno de Tampico
Pues que justicia se le hizo a esos estuduantes. Ninguna y no an pagado. Solo quedo en un triste recuerdo. Maldito gobierno.,2025-10-08T22:19:31Z,Gobierno de Tampico
MOREIRA Y ALITO MORENO TIENEN KK 💩💩EN LA CABEZA POBRES IGNORANTES DAN LASTIMA AJENA A NIVEL MUNDIAL BOLA DE 🦨🦨🦨,2025-10-08T22:19:54Z,Gobierno de Tampico
MOREIRA Y ALITO MORENO TIENEN KK 💩💩EN LA CABEZA POBRES IGNORANTES DAN LASTIMA AJENA A NIVEL MUNDIAL BOLA DE 🦨🦨🦨,2025-10-08T22:19:54Z,gobierno de Tampico
Pago el muelon de Diaz ordas. No nunca. Gobierno corrupto.,2025-10-08T22:20:26Z,Gobierno de Tampico
ALITO MORENO Y MOREIRA YA NO CONSUMAN FENTANILO SE LES QUEMA EL CEREBRO RATAS DE 💩💩,2025-10-08T22:22:05Z,Gobierno de Tampico
ALITO MORENO Y MOREIRA YA NO CONSUMAN FENTANILO SE LES QUEMA EL CEREBRO RATAS DE 💩💩,2025-10-08T22:22:05Z,gobierno de Tampico
🤢👽🧟‍♂️🧟‍♀️💚💚💚💚,2025-10-08T22:36:14Z,presidenta municipal de Tampico
🤢👽🧟‍♂️🧟‍♀️💚💚💚💚,2025-10-08T22:36:14Z,Presidenta municipal de Tampico
Los dos son muy lindos! Pero ahora se ven más lindos!,2025-10-08T22:45:08Z,Gobierno de Tampico
"<a href=""https://www.youtube.com/watch?v=PDQPEgCrEZs&amp;t=1654"">27:34</a> guapísima",2025-10-08T22:47:44Z,Gobierno de Tampico
"Se escucha de la c*******, parece que cada quien va por un lado y el otro por otro lado .  fui militar y por eso lo digo, cada quien jala por su lado se escucha feo",2025-10-09T00:27:57Z,presidenta municipal de Tampico
"Se escucha de la c*******, parece que cada quien va por un lado y el otro por otro lado .  fui militar y por eso lo digo, cada quien jala por su lado se escucha feo",2025-10-09T00:27:57Z,Presidenta municipal de Tampico
LA NARCOPRESIRVIENTA TIENE OTROS DATOS MIENTE COMO RESPIRA,2025-10-09T01:22:36Z,Gobierno de Tampico
LA NARCOPRESIRVIENTA TIENE OTROS DATOS MIENTE COMO RESPIRA,2025-10-09T01:22:36Z,gobierno de Tampico
"Recuerden que un hotelero  convertido  en presidente municipal  del pri ,se le hizo  &quot;gracioso &quot; traer  cocodrilos  a la orilla de la  Laguna del Carpintero  y ahí  los dejó,",2025-10-09T01:37:21Z,Gobierno de Tampico
La de azul le dió asco el mal olor a caño que se carga este wey,2025-10-09T02:00:58Z,Presidenta municipal de Tampico
La de azul le dió asco el mal olor a caño que se carga este wey,2025-10-09T02:00:58Z,presidenta municipal de Tampico
La de azul le dió asco el mal olor a caño que se carga este wey,2025-10-09T02:00:58Z,Presidenta municipal de Tampico
"La Naturaleza reclama  su espacio  , esa parte  fue un brazo  del Río  Tamesi  qué  se unía  al Río  Pánuco",2025-10-09T02:14:34Z,Gobierno de Tampico
Y los cocodrilos,2025-10-09T02:29:52Z,Gobierno de Tampico
Sé que vine un poco tarde pero Claudia sheinbaum yo soy el abanderado de mi escuela y yo sé que se siente llevar la bandera nuestro lávalo patrio yo daría la vida si fuera necesario para cuidar y proteger esa bandera yo amo a la bandera de México con todo mi corazón espero que leas mi comentario Claudia sheinbaum,2025-10-09T02:58:17Z,presidenta municipal de Tampico
Sé que vine un poco tarde pero Claudia sheinbaum yo soy el abanderado de mi escuela y yo sé que se siente llevar la bandera nuestro lávalo patrio yo daría la vida si fuera necesario para cuidar y proteger esa bandera yo amo a la bandera de México con todo mi corazón espero que leas mi comentario Claudia sheinbaum,2025-10-09T02:58:17Z,Presidenta municipal de Tampico
Es obvio porque es zona baja... De hecho se inunda medio Tampico cuando llueve por un par de horas... 😢,2025-10-09T03:03:50Z,Gobierno de Tampico
Yo  vivo en las violetas pero jamás se había inundado mi patio allovido mucho gracias a Dios por los que esperan esta agua para las presas y  así no quitaran nuestra agua potable para bañarse lavar ropa y trastes😅😊,2025-10-09T03:07:52Z,Gobierno de Tampico
"Ponte vitacilina para el ardor porroruco Moreira, y acuérdate que a cada capillita le llega su fiestecita 🎉😅",2025-10-09T03:35:41Z,Gobierno de Tampico
"Ponte vitacilina para el ardor porroruco Moreira, y acuérdate que a cada capillita le llega su fiestecita 🎉😅",2025-10-09T03:35:41Z,gobierno de Tampico
EL PROBLEMA ES QUE PRONTO LIS TAPARÁ EL AGUA ..POR SER TAMPIQUEÑOS😂 DIOS LIS CUIDE,2025-10-09T03:46:55Z,Gobierno de Tampico
"Digan lo que digan remix pa cuando <a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=173"">2:53</a>",2025-10-09T04:17:17Z,Gobierno de Tampico
"Digan lo que digan remix pa cuando <a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=173"">2:53</a>",2025-10-09T04:17:17Z,gobierno de Tampico
"Digan lo que digan remix pa cuando <a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=173"">2:53</a>",2025-10-09T04:17:17Z,Gobierno de Tampico
"Digan lo que digan remix pa cuando <a href=""https://www.youtube.com/watch?v=ZsqgXFEfzfc&amp;t=173"">2:53</a>",2025-10-09T04:17:17Z,gobierno de Tampico
Que raro 😂,2025-10-09T04:32:38Z,Gobierno de Tampico
Historico señoras y señores este grito de independencia,2025-10-09T04:50:03Z,presidenta municipal de Tampico
Historico señoras y señores este grito de independencia,2025-10-09T04:50:03Z,Presidenta municipal de Tampico
"Que asco, ambos.😂😂😂",2025-10-09T05:01:15Z,Gobierno de Tampico
"Que asco, ambos.😂😂😂",2025-10-09T05:01:15Z,gobierno de Tampico
"Y LOS LAGARTOS BAILANDO  ,  Y DONDE TE AGARRO LA DEPRESIÓN!!!<br>FRENTE FRIO , MAS CALOR IGUAL A LLUVIAS",2025-10-09T05:41:06Z,Gobierno de Tampico
"Lo único malo aparte del año, los narradores del evento del grito además de ser de cadenas chayoteras!!",2025-10-09T06:17:00Z,presidenta municipal de Tampico
"Lo único malo aparte del año, los narradores del evento del grito además de ser de cadenas chayoteras!!",2025-10-09T06:17:00Z,Presidenta municipal de Tampico
Por favor no quieran insultar nuestra inteligencia.,2025-10-09T06:48:46Z,Gobierno de Tampico
Por favor no quieran insultar nuestra inteligencia.,2025-10-09T06:48:46Z,gobierno de Tampico
Un gran orgullo ver lo que han logrado las mujeres mexicanas...Muy bien Señora Presidenta Claudia Sheinbaum Pardo!!!,2025-10-09T06:51:36Z,presidenta municipal de Tampico
