horizonte_sem,outer_fold_index,column_name,non_null_train_count,nunique_train_non_null
4,1,cobertura_modelos_fila,12,2
4,1,consenso_direccion,12,2
4,1,desacuerdo_direccion,12,2
4,1,desviacion_predicciones,12,11
4,1,dispersion_direccion,12,3
4,1,max_diff_predicciones,12,11
4,1,max_predicciones,12,12
4,1,mediana_predicciones,12,12
4,1,min_predicciones,12,12
4,1,n_direcciones_distintas,12,2
4,1,n_modelos_disponibles,12,2
4,1,numero_modelos_predicen_caida,12,5
4,1,promedio_predicciones,12,12
4,1,rango_predicciones,12,11
4,1,share_modelos_predicen_caida,12,5
4,1,ctx_abs_delta_1w,12,12
4,1,ctx_delta_1w,12,12
4,1,ctx_delta_2w,12,12
4,1,ctx_mean_delta_4w,12,12
4,1,ctx_negative_delta_ratio_4w,12,2
4,1,ctx_positive_delta_ratio_4w,12,2
4,1,ctx_recent_fall_flag,12,2
4,1,ctx_rolling_mean_4w,12,12
4,1,ctx_rolling_std_4w,12,12
4,1,ctx_sentimiento_medios,12,12
4,1,ctx_trend_vs_ma4,12,12
4,1,ctx_v5_dispersion_neta,12,12
4,1,ctx_v5_promedio_neto,12,12
4,1,ctx_y_lag1,12,12
4,1,ctx_y_lag2,12,12
4,1,ctx_y_lag4,12,12
4,1,hist_abs_error_mean4_E1_v5_clean,9,9
4,1,hist_abs_error_mean4_E2_v3_clean,11,11
4,1,hist_abs_error_mean4_E3_v2_clean,9,9
4,1,hist_abs_error_mean4_E5_v4_clean,9,9
4,1,hist_abs_error_mean4_E7_v3_clean,9,9
4,1,hist_caida_hit_mean4_E1_v5_clean,6,3
4,1,hist_caida_hit_mean4_E3_v2_clean,6,3
4,1,hist_caida_hit_mean4_E5_v4_clean,6,3
4,1,hist_caida_hit_mean4_E7_v3_clean,6,2
4,1,hist_dir_acc_mean4_E1_v5_clean,9,4
4,1,hist_dir_acc_mean4_E2_v3_clean,11,2
4,1,hist_dir_acc_mean4_E3_v2_clean,9,4
4,1,hist_dir_acc_mean4_E5_v4_clean,9,4
4,1,hist_dir_acc_mean4_E7_v3_clean,9,4
4,1,hist_loss_local_mean4_E1_v5_clean,9,9
4,1,hist_loss_local_mean4_E2_v3_clean,11,11
4,1,hist_loss_local_mean4_E3_v2_clean,9,9
4,1,hist_loss_local_mean4_E5_v4_clean,9,9
4,1,hist_loss_local_mean4_E7_v3_clean,9,9
4,1,y_current,12,12
4,1,caida_pred_E1_v5_clean,10,2
4,1,caida_pred_E2_v3_clean,12,2
4,1,caida_pred_E3_v2_clean,10,2
4,1,caida_pred_E5_v4_clean,10,2
4,1,caida_pred_E7_v3_clean,10,2
4,1,direccion_pred_E1_v5_clean,10,2
4,1,direccion_pred_E2_v3_clean,12,2
4,1,direccion_pred_E3_v2_clean,10,2
4,1,direccion_pred_E5_v4_clean,10,2
4,1,direccion_pred_E7_v3_clean,10,2
4,1,pred_E1_v5_clean,10,10
4,1,pred_E2_v3_clean,12,12
4,1,pred_E3_v2_clean,10,10
4,1,pred_E5_v4_clean,10,10
4,1,pred_E7_v3_clean,10,10
4,1,pred_disponible_E1_v5_clean,12,2
4,1,pred_disponible_E3_v2_clean,12,2
4,1,pred_disponible_E5_v4_clean,12,2
4,1,pred_disponible_E7_v3_clean,12,2
4,2,cobertura_modelos_fila,13,2
4,2,consenso_direccion,13,2
4,2,desacuerdo_direccion,13,2
4,2,desviacion_predicciones,13,12
4,2,dispersion_direccion,13,3
4,2,max_diff_predicciones,13,12
4,2,max_predicciones,13,13
4,2,mediana_predicciones,13,13
4,2,min_predicciones,13,13
4,2,n_direcciones_distintas,13,2
4,2,n_modelos_disponibles,13,2
4,2,numero_modelos_predicen_caida,13,5
4,2,promedio_predicciones,13,13
4,2,rango_predicciones,13,12
4,2,share_modelos_predicen_caida,13,5
4,2,ctx_abs_delta_1w,13,13
4,2,ctx_delta_1w,13,13
4,2,ctx_delta_2w,13,13
4,2,ctx_mean_delta_4w,13,13
4,2,ctx_negative_delta_ratio_4w,13,2
4,2,ctx_positive_delta_ratio_4w,13,2
4,2,ctx_recent_fall_flag,13,2
4,2,ctx_rolling_mean_4w,13,13
4,2,ctx_rolling_std_4w,13,13
4,2,ctx_sentimiento_medios,13,13
4,2,ctx_trend_vs_ma4,13,13
4,2,ctx_v5_dispersion_neta,13,13
4,2,ctx_v5_promedio_neto,13,13
4,2,ctx_y_lag1,13,13
4,2,ctx_y_lag2,13,13
4,2,ctx_y_lag4,13,13
4,2,hist_abs_error_mean4_E1_v5_clean,10,10
4,2,hist_abs_error_mean4_E2_v3_clean,12,12
4,2,hist_abs_error_mean4_E3_v2_clean,10,10
4,2,hist_abs_error_mean4_E5_v4_clean,10,10
4,2,hist_abs_error_mean4_E7_v3_clean,10,10
4,2,hist_caida_hit_mean4_E1_v5_clean,7,3
